motif	ntarget_hits	nrandom_hits	Posison.Test	max.class	max.FC	Poison.Test.P.value	Q1	Median	Q3	IQR	Outlier	max.peak	peak.IQR.ratio	peak.Test
ZNF319_1.motif	56	69	Not-Overlapped	NA	NA	0.513212037804661	NA	NA	NA	NA	NA	NA	NA	NA
ZNF319_2.motif	36	41	Not-Overlapped	NA	NA	0.321205588285577	NA	NA	NA	NA	NA	NA	NA	NA
ZNF319_6.motif	868	882	Not-Overlapped	NA	NA	0.880462310642082	NA	NA	NA	NA	NA	NA	NA	NA
ZNF3_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF320_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF32_1.Infer.motif	482	881	Not-Overlapped	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
ZNF322_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF324_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF324B_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF329_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF331_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF333_1.motif	75	82	Not-Overlapped	NA	NA	0.959572318005487	NA	NA	NA	NA	NA	NA	NA	NA
ZNF334_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF334_2.motif	2	2	Not-Overlapped	NA	NA	0.269633793527669	NA	NA	NA	NA	NA	NA	NA	NA
ZNF335_1.motif	543	462	Not-Overlapped	NA	NA	0.341943620988608	NA	NA	NA	NA	NA	NA	NA	NA
ZNF335_2.motif	545	564	Not-Overlapped	NA	NA	0.236376041640527	NA	NA	NA	NA	NA	NA	NA	NA
ZNF335_6.motif	199	288	Not-Overlapped	NA	NA	0.840450232361488	NA	NA	NA	NA	NA	NA	NA	NA
ZNF337_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF33A_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF33A_2.motif	943	1029	Not-Overlapped	NA	NA	0.904197009112406	NA	NA	NA	NA	NA	NA	NA	NA
ZNF33B_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF33B_2.motif	81	56	Not-Overlapped	NA	NA	0.436923761914779	NA	NA	NA	NA	NA	NA	NA	NA
ZNF341_1.motif	4273	3649	Not-Overlapped	NA	NA	0.931107338116755	NA	NA	NA	NA	NA	NA	NA	NA
ZNF341_2.motif	15	13	Not-Overlapped	NA	NA	0.295241472242587	NA	NA	NA	NA	NA	NA	NA	NA
ZNF341_3.motif	752	608	Not-Overlapped	NA	NA	0.469761907424373	NA	NA	NA	NA	NA	NA	NA	NA
ZNF34_2.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF343_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF345_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF347_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF347_2.motif	0	2	Not-Overlapped	NA	NA	0.269633793527669	NA	NA	NA	NA	NA	NA	NA	NA
ZNF350_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF35_1.Infer.motif	8186	7960	Not-Overlapped	NA	NA	0.418056590142302	NA	NA	NA	NA	NA	NA	NA	NA
ZNF354A_1.motif	86	58	Not-Overlapped	NA	NA	0.232757672670708	NA	NA	NA	NA	NA	NA	NA	NA
ZNF354A_2.motif	50	51	Not-Overlapped	NA	NA	0.436762177945645	NA	NA	NA	NA	NA	NA	NA	NA
ZNF354A_3.motif	6	5	Not-Overlapped	NA	NA	0.593994150290162	NA	NA	NA	NA	NA	NA	NA	NA
ZNF354B_1.motif	165	154	Not-Overlapped	NA	NA	0.56442897794843	NA	NA	NA	NA	NA	NA	NA	NA
ZNF354B_2.motif	50	51	Not-Overlapped	NA	NA	0.436762177945645	NA	NA	NA	NA	NA	NA	NA	NA
ZNF354B_3.motif	21	25	Not-Overlapped	NA	NA	0.631908670521449	NA	NA	NA	NA	NA	NA	NA	NA
ZNF354C_1.motif	937	1019	Not-Overlapped	NA	NA	0.999815301853599	NA	NA	NA	NA	NA	NA	NA	NA
